公司代號,公司名稱,市場
1101,臺灣水泥股份有限公司,上市(TWSE)
1102,亞洲水泥股份有限公司,上市(TWSE)
1103,嘉新水泥股份有限公司,上市(TWSE)
1104,環球水泥股份有限公司,上市(TWSE)
1108,幸福水泥股份有限公司,上市(TWSE)
1109,信大水泥股份有限公司,上市(TWSE)
1110,東南水泥股份有限公司,上市(TWSE)
1201,味全食品工業股份有限公司,上市(TWSE)
1203,味王股份有限公司,上市(TWSE)
1210,大成長城企業股份有限公司,上市(TWSE)
1213,大西洋飲料股份有限公司,上市(TWSE)
1215,台灣卜蜂企業股份有限公司,上市(TWSE)
1216,統一企業股份有限公司,上市(TWSE)
1217,愛之味股份有限公司,上市(TWSE)
1218,泰山企業股份有限公司,上市(TWSE)
1219,福壽實業股份有限公司,上市(TWSE)
1220,台榮產業股份有限公司,上市(TWSE)
1225,福懋油脂股份有限公司,上市(TWSE)
1227,佳格食品股份有限公司,上市(TWSE)
1229,聯華實業控股股份有限公司,上市(TWSE)
1231,聯華食品工業股份有限公司,上市(TWSE)
1232,大統益股份有限公司,上市(TWSE)
1233,天仁茶業股份有限公司,上市(TWSE)
1234,黑松股份有限公司,上市(TWSE)
1235,興泰實業股份有限公司,上市(TWSE)
1236,宏亞食品股份有限公司,上市(TWSE)
1256,鮮活控股股份有限公司,上市(TWSE)
1301,台灣塑膠工業股份有限公司,上市(TWSE)
1303,南亞塑膠工業股份有限公司,上市(TWSE)
1304,台灣聚合化學品股份有限公司,上市(TWSE)
1305,華夏海灣塑膠股份有限公司,上市(TWSE)
1307,三芳化學工業股份有限公司,上市(TWSE)
1308,亞洲聚合股份有限公司,上市(TWSE)
1309,台達化學工業股份有限公司,上市(TWSE)
1310,台灣苯乙烯工業股份有限公司,上市(TWSE)
1312,國喬石油化學股份有限公司,上市(TWSE)
1313,聯成化學科技股份有限公司,上市(TWSE)
1314,中國石油化學工業開發(股)公司,上市(TWSE)
1315,達新工業股份有限公司,上市(TWSE)
1316,上曜建設開發股份有限公司,上市(TWSE)
1319,東陽實業廠股份有限公司,上市(TWSE)
1321,大洋塑膠工業股份有限公司,上市(TWSE)
1323,永裕塑膠工業股份有限公司,上市(TWSE)
1324,地球綜合工業股份有限公司,上市(TWSE)
1325,恒大股份有限公司,上市(TWSE)
1326,台灣化學纖維股份有限公司,上市(TWSE)
1337,亞洲塑膠再生資源控股有限公司,上市(TWSE)
1338,廣華控股有限公司,上市(TWSE)
1339,昭輝實業股份有限公司,上市(TWSE)
1340,勝悅新材料有限公司,上市(TWSE)
1341,富林塑膠工業(開曼)控股(股)公司,上市(TWSE)
1342,八貫企業股份有限公司,上市(TWSE)
1402,遠東新世紀股份有限公司,上市(TWSE)
1409,新光合成纖維股份有限公司,上市(TWSE)
1410,南洋染整股份有限公司,上市(TWSE)
1413,宏洲纖維工業股份有限公司,上市(TWSE)
1414,東和紡織股份有限公司,上市(TWSE)
1416,廣豐實業股份有限公司,上市(TWSE)
1417,嘉裕股份有限公司,上市(TWSE)
1418,東華龍股份有限公司,上市(TWSE)
1419,新光紡織股份有限公司,上市(TWSE)
1423,利華羊毛工業股份有限公司,上市(TWSE)
1432,大魯閣實業股份有限公司,上市(TWSE)
1434,福懋興業股份有限公司,上市(TWSE)
1435,中福國際(股)公司,上市(TWSE)
1436,華友聯開發股份有限公司,上市(TWSE)
1437,勤益投資控股股份有限公司,上市(TWSE)
1438,三地開發地產股份有限公司,上市(TWSE)
1439,雋揚國際股份有限公司,上市(TWSE)
1440,臺南紡織股份有限公司,上市(TWSE)
1441,大東紡織股份有限公司,上市(TWSE)
1442,名軒開發股份有限公司,上市(TWSE)
1443,立益物流開發股份有限公司,上市(TWSE)
1444,力麗企業股份有限公司,上市(TWSE)
1445,大宇紡織股份有限公司,上市(TWSE)
1446,宏和精密紡織股份有限公司,上市(TWSE)
1447,力鵬企業股份有限公司,上市(TWSE)
1449,佳和實業股份有限公司,上市(TWSE)
1451,年興紡織股份有限公司,上市(TWSE)
1452,宏益纖維工業股份有限公司,上市(TWSE)
1453,大將開發股份有限公司,上市(TWSE)
1454,台灣富綢纖維股份有限公司,上市(TWSE)
1455,集盛實業股份有限公司,上市(TWSE)
1456,怡華實業股份有限公司,上市(TWSE)
1457,宜進實業股份有限公司,上市(TWSE)
1459,聯發紡織纖維股份有限公司,上市(TWSE)
1460,宏遠興業股份有限公司,上市(TWSE)
1463,強盛新股份有限公司,上市(TWSE)
1464,得力實業股份有限公司,上市(TWSE)
1465,偉全實業股份有限公司,上市(TWSE)
1466,聚隆纖維股份有限公司,上市(TWSE)
1467,南緯實業股份有限公司,上市(TWSE)
1468,昶和纖維興業股份有限公司,上市(TWSE)
1470,大統新創股份有限公司,上市(TWSE)
1471,首利實業股份有限公司,上市(TWSE)
1472,三洋實業股份有限公司,上市(TWSE)
1473,台南企業股份有限公司,上市(TWSE)
1474,弘裕企業股份有限公司,上市(TWSE)
1475,台灣業旺股份有限公司,上市(TWSE)
1476,儒鴻企業股份有限公司,上市(TWSE)
1477,聚陽實業股份有限公司,上市(TWSE)
1503,士林電機廠股份有限公司,上市(TWSE)
1504,東元電機股份有限公司,上市(TWSE)
1506,正道工業股份有限公司,上市(TWSE)
1512,瑞利企業股份有限公司,上市(TWSE)
1513,中興電工機械股份有限公司,上市(TWSE)
1514,亞力電機股份有限公司,上市(TWSE)
1515,力山工業股份有限公司,上市(TWSE)
1516,川飛能源股份有限公司,上市(TWSE)
1517,利奇機械工業股份有限公司,上市(TWSE)
1519,華城電機股份有限公司,上市(TWSE)
1521,大億交通工業製造股份有限公司,上市(TWSE)
1522,堤維西交通工業股份有限公司,上市(TWSE)
1524,耿鼎企業股份有限公司,上市(TWSE)
1525,江申工業股份有限公司,上市(TWSE)
1526,日馳企業股份有限公司,上市(TWSE)
1527,鑽全實業股份有限公司,上市(TWSE)
1528,恩德科技股份有限公司,上市(TWSE)
1529,樂事綠能科技股份有限公司,上市(TWSE)
1530,亞崴機電股份有限公司,上市(TWSE)
1531,高林股份有限公司,上市(TWSE)
1532,勤美股份有限公司,上市(TWSE)
1533,車王電子股份有限公司,上市(TWSE)
1535,中宇環保工程股份有限公司,上市(TWSE)
1536,和大工業股份有限公司,上市(TWSE)
1537,廣隆光電科技股份有限公司,上市(TWSE)
1538,正峰工業股份有限公司,上市(TWSE)
1539,巨庭機械股份有限公司,上市(TWSE)
1540,喬福機械工業股份有限公司,上市(TWSE)
1541,錩泰工業股份有限公司,上市(TWSE)
1558,伸興工業股份有限公司,上市(TWSE)
1560,中國砂輪企業股份有限公司,上市(TWSE)
1563,巧新科技工業股份有限公司,上市(TWSE)
1568,倉佑實業股份有限公司,上市(TWSE)
1582,信錦企業股份有限公司,上市(TWSE)
1583,程泰機械股份有限公司,上市(TWSE)
1587,吉茂精密股份有限公司,上市(TWSE)
1589,永冠能源科技集團有限公司,上市(TWSE)
1590,亞德客國際集團,上市(TWSE)
1597,直得科技股份有限公司,上市(TWSE)
1598,岱宇國際股份有限公司,上市(TWSE)
1603,中華電線電纜股份有限公司,上市(TWSE)
1604,聲寶股份有限公司,上市(TWSE)
1605,華新麗華股份有限公司,上市(TWSE)
1608,華榮電線電纜股份有限公司,上市(TWSE)
1609,大亞電線電纜股份有限公司,上市(TWSE)
1611,中國電器股份有限公司,上市(TWSE)
1612,宏泰電工股份有限公司,上市(TWSE)
1614,台灣三洋電機股份有限公司,上市(TWSE)
1615,大山電線電纜股份有限公司,上市(TWSE)
1616,億泰電線電纜股份有限公司,上市(TWSE)
1617,榮星電線工業股份有限公司,上市(TWSE)
1618,合機電線電纜股份有限公司,上市(TWSE)
1626,艾美特(開曼)國際有限公司,上市(TWSE)
1702,南僑投資控股股份有限公司,上市(TWSE)
1707,葡萄王生技股份有限公司,上市(TWSE)
1708,東南實業股份有限公司,上市(TWSE)
1709,和益化學工業股份有限公司,上市(TWSE)
1710,東聯化學股份有限公司,上市(TWSE)
1711,臺灣永光化學工業股份有限公司,上市(TWSE)
1712,興農股份有限公司,上市(TWSE)
1713,國泰化工廠股份有限公司,上市(TWSE)
1714,和桐化學股份有限公司,上市(TWSE)
1717,長興材料工業股份有限公司,上市(TWSE)
1718,中國人造纖維股份有限公司,上市(TWSE)
1720,生達化學製藥股份有限公司,上市(TWSE)
1721,三晃股份有限公司,上市(TWSE)
1722,台灣肥料股份有限公司,上市(TWSE)
1723,中鋼碳素化學股份有限公司,上市(TWSE)
1725,元禎企業股份有限公司,上市(TWSE)
1726,永記造漆工業股份有限公司,上市(TWSE)
1727,臺灣中華化學工業股份有限公司,上市(TWSE)
1730,花仙子企業股份有限公司,上市(TWSE)
1731,美吾華股份有限公司,上市(TWSE)
1732,毛寶股份有限公司,上市(TWSE)
1733,五鼎生物技術股份有限公司,上市(TWSE)
1734,杏輝藥品工業股份有限公司,上市(TWSE)
1735,日勝化工股份有限公司,上市(TWSE)
1736,喬山健康科技股份有限公司,上市(TWSE)
1737,臺鹽實業股份有限公司,上市(TWSE)
1752,南光化學製藥股份有限公司,上市(TWSE)
1760,寶齡富錦生技股份有限公司,上市(TWSE)
1762,中化合成生技股份有限公司,上市(TWSE)
1773,勝一化工股份有限公司,上市(TWSE)
1776,展宇科技材料股份有限公司,上市(TWSE)
1783,和康生物科技股份有限公司,上市(TWSE)
1786,科妍生物科技股份有限公司,上市(TWSE)
1789,台灣神隆股份有限公司,上市(TWSE)
1795,美時化學製藥股份有限公司,上市(TWSE)
1802,台灣玻璃工業股份有限公司,上市(TWSE)
1805,寶徠建設股份有限公司,上市(TWSE)
1806,冠軍建材股份有限公司,上市(TWSE)
1808,潤隆建設股份有限公司,上市(TWSE)
1809,中國製釉股份有限公司,上市(TWSE)
1810,和成欣業股份有限公司,上市(TWSE)
1817,凱撒衛浴股份有限公司,上市(TWSE)
1903,士林紙業股份有限公司,上市(TWSE)
1904,正隆股份有限公司,上市(TWSE)
1905,中華紙漿股份有限公司,上市(TWSE)
1906,寶隆國際股份有限公司,上市(TWSE)
1907,永豐餘投資控股股份有限公司,上市(TWSE)
1909,榮成紙業股份有限公司,上市(TWSE)
2002,中國鋼鐵股份有限公司,上市(TWSE)
2006,東和鋼鐵企業股份有限公司,上市(TWSE)
2007,燁興企業股份有限公司,上市(TWSE)
2008,高興昌鋼鐵股份有限公司,上市(TWSE)
2009,第一伸銅科技股份有限公司,上市(TWSE)
2010,春源鋼鐵工業股份有限公司,上市(TWSE)
2012,春雨工廠股份有限公司,上市(TWSE)
2013,中國鋼鐵結構股份有限公司,上市(TWSE)
2014,中鴻鋼鐵股份有限公司,上市(TWSE)
2015,豐興鋼鐵股份有限公司,上市(TWSE)
2017,官田鋼鐵股份有限公司,上市(TWSE)
2020,美亞鋼管廠股份有限公司,上市(TWSE)
2022,聚亨企業股份有限公司,上市(TWSE)
2023,燁輝企業股份有限公司,上市(TWSE)
2024,志聯工業股份有限公司,上市(TWSE)
2025,千興不銹鋼(股)公司,上市(TWSE)
2027,大成不銹鋼工業股份有限公司,上市(TWSE)
2028,威致鋼鐵工業股份有限公司,上市(TWSE)
2029,盛餘股份有限公司,上市(TWSE)
2030,彰源企業股份有限公司,上市(TWSE)
2031,新光鋼鐵股份有限公司,上市(TWSE)
2032,新鋼工業股份有限公司,上市(TWSE)
2033,佳大世界股份有限公司,上市(TWSE)
2034,允強實業股份有限公司,上市(TWSE)
2038,海光企業股份有限公司,上市(TWSE)
2049,上銀科技股份有限公司,上市(TWSE)
2059,川湖科技股份有限公司,上市(TWSE)
2062,橋椿金屬股份有限公司,上市(TWSE)
2069,運錩鋼鐵股份有限公司,上市(TWSE)
2101,南港輪胎股份有限公司,上市(TWSE)
2102,泰豐輪胎股份有限公司,上市(TWSE)
2103,台橡股份有限公司,上市(TWSE)
2104,國際中橡投資控股股份有限公司,上市(TWSE)
2105,正新橡膠工業股份有限公司,上市(TWSE)
2106,建大工業股份有限公司,上市(TWSE)
2107,厚生股份有限公司,上市(TWSE)
2108,南帝化學工業股份有限公司,上市(TWSE)
2109,華豐橡膠工業股份有限公司,上市(TWSE)
2114,鑫永銓股份有限公司,上市(TWSE)
2115,六暉控股股份有限公司,上市(TWSE)
2201,裕隆汽車製造股份有限公司,上市(TWSE)
2204,中華汽車工業股份有限公司,上市(TWSE)
2206,三陽工業股份有限公司,上市(TWSE)
2207,和泰汽車股份有限公司,上市(TWSE)
2208,台灣國際造船股份有限公司,上市(TWSE)
2211,長榮鋼鐵股份有限公司,上市(TWSE)
2227,裕隆日產汽車股份有限公司,上市(TWSE)
2228,劍麟股份有限公司,上市(TWSE)
2231,為升電裝工業股份有限公司,上市(TWSE)
2233,宇隆科技股份有限公司,上市(TWSE)
2236,百達精密工業股份有限公司,上市(TWSE)
2239,開曼英利工業股份有限公司,上市(TWSE)
2241,艾姆勒科技股份有限公司,上市(TWSE)
2243,宏旭控股股份有限公司,上市(TWSE)
2247,汎德永業汽車股份有限公司,上市(TWSE)
2248,華勝汽車電子股份有限公司,上市(TWSE)
2250,第一化成控股(開曼)股份有限公司,上市(TWSE)
2254,巨鎧精密工業股份有限公司,上市(TWSE)
2258,鴻華先進科技股份有限公司,上市(TWSE)
2301,光寶科技股份有限公司,上市(TWSE)
2302,麗正國際科技股份有限公司,上市(TWSE)
2303,聯華電子股份有限公司,上市(TWSE)
2305,全友電腦股份有限公司,上市(TWSE)
2308,台達電子工業股份有限公司,上市(TWSE)
2312,金寶電子工業股份有限公司,上市(TWSE)
2313,華通電腦股份有限公司,上市(TWSE)
2314,台揚科技股份有限公司,上市(TWSE)
2316,楠梓電子股份有限公司,上市(TWSE)
2317,鴻海精密工業股份有限公司,上市(TWSE)
2321,東訊股份有限公司,上市(TWSE)
2323,中環股份有限公司,上市(TWSE)
2324,仁寶電腦工業股份有限公司,上市(TWSE)
2327,國巨股份有限公司,上市(TWSE)
2328,廣宇科技股份有限公司,上市(TWSE)
2329,華泰電子股份有限公司,上市(TWSE)
2330,台灣積體電路製造股份有限公司,上市(TWSE)
2331,精英電腦股份有限公司,上市(TWSE)
2332,友訊科技股份有限公司,上市(TWSE)
2337,旺宏電子股份有限公司,上市(TWSE)
2338,台灣光罩股份有限公司,上市(TWSE)
2340,台亞半導體股份有限公司,上市(TWSE)
2342,台灣茂矽電子股份有限公司,上市(TWSE)
2344,華邦電子股份有限公司,上市(TWSE)
2345,智邦科技股份有限公司,上市(TWSE)
2347,聯強國際股份有限公司,上市(TWSE)
2348,海悅國際開發股份有限公司,上市(TWSE)
2349,錸德科技股份有限公司,上市(TWSE)
2351,順德工業股份有限公司,上市(TWSE)
2352,佳世達科技股份有限公司,上市(TWSE)
2353,宏碁股份有限公司,上市(TWSE)
2354,鴻準精密工業股份有限公司,上市(TWSE)
2355,敬鵬工業股份有限公司,上市(TWSE)
2356,英業達股份有限公司,上市(TWSE)
2357,華碩電腦股份有限公司,上市(TWSE)
2359,所羅門股份有限公司,上市(TWSE)
2360,致茂電子股份有限公司,上市(TWSE)
2362,藍天電腦股份有限公司,上市(TWSE)
2363,矽統科技股份有限公司,上市(TWSE)
2364,倫飛電腦實業股份有限公司,上市(TWSE)
2365,昆盈企業股份有限公司,上市(TWSE)
2367,燿華電子股份有限公司,上市(TWSE)
2368,金像電子(股)公司,上市(TWSE)
2369,菱生精密工業股份有限公司,上市(TWSE)
2371,大同股份有限公司,上市(TWSE)
2373,震旦行股份有限公司,上市(TWSE)
2374,佳能企業股份有限公司,上市(TWSE)
2375,凱美電機股份有限公司,上市(TWSE)
2376,技嘉科技股份有限公司,上市(TWSE)
2377,微星科技股份有限公司,上市(TWSE)
2379,瑞昱半導體股份有限公司,上市(TWSE)
2380,虹光精密工業股份有限公司,上市(TWSE)
2382,廣達電腦股份有限公司,上市(TWSE)
2383,台光電子材料股份有限公司,上市(TWSE)
2385,群光電子股份有限公司,上市(TWSE)
2387,精元電腦股份有限公司,上市(TWSE)
2388,威盛電子股份有限公司,上市(TWSE)
2390,云辰電子開發股份有限公司,上市(TWSE)
2392,正崴精密工業股份有限公司,上市(TWSE)
2393,億光電子工業股份有限公司,上市(TWSE)
2395,研華股份有限公司,上市(TWSE)
2397,友通資訊股份有限公司,上市(TWSE)
2399,映泰股份有限公司,上市(TWSE)
2401,凌陽科技股份有限公司,上市(TWSE)
2402,毅嘉科技股份有限公司,上市(TWSE)
2404,漢唐集成股份有限公司,上市(TWSE)
2405,輔信科技股份有限公司,上市(TWSE)
2406,國碩科技工業股份有限公司,上市(TWSE)
2408,南亞科技股份有限公司,上市(TWSE)
2409,友達光電股份有限公司,上市(TWSE)
2412,中華電信股份有限公司,上市(TWSE)
2413,環隆科技股份有限公司,上市(TWSE)
2414,精技電腦股份有限公司,上市(TWSE)
2415,錩新科技股份有限公司,上市(TWSE)
2417,圓剛科技股份有限公司,上市(TWSE)
2419,仲琦科技股份有限公司,上市(TWSE)
2420,新巨企業股份有限公司,上市(TWSE)
2421,建準電機工業股份有限公司,上市(TWSE)
2423,固緯電子實業股份有限公司,上市(TWSE)
2424,隴華電子股份有限公司,上市(TWSE)
2425,承啟科技股份有限公司,上市(TWSE)
2426,鼎元光電科技股份有限公司,上市(TWSE)
2427,三商電腦股份有限公司,上市(TWSE)
2428,興勤電子工業股份有限公司,上市(TWSE)
2429,銘旺科技股份有限公司,上市(TWSE)
2430,燦坤實業股份有限公司,上市(TWSE)
2431,聯昌電子企業股份有限公司,上市(TWSE)
2432,倚天酷碁股份有限公司,上市(TWSE)
2433,互盛股份有限公司,上市(TWSE)
2434,統懋半導體股份有限公司,上市(TWSE)
2436,偉詮電子股份有限公司,上市(TWSE)
2438,翔耀實業股份有限公司,上市(TWSE)
2439,美律實業股份有限公司,上市(TWSE)
2440,太空梭高傳真資訊科技(股)公司,上市(TWSE)
2441,超豐電子股份有限公司,上市(TWSE)
2442,新美齊股份有限公司,上市(TWSE)
2444,兆勁科技股份有限公司,上市(TWSE)
2449,京元電子股份有限公司,上市(TWSE)
2450,神腦國際企業股份有限公司,上市(TWSE)
2451,創見資訊股份有限公司,上市(TWSE)
2453,凌群電腦股份有限公司,上市(TWSE)
2454,聯發科技股份有限公司,上市(TWSE)
2455,全新光電科技股份有限公司,上市(TWSE)
2457,飛宏科技股份有限公司,上市(TWSE)
2458,義隆電子股份有限公司,上市(TWSE)
2459,敦吉科技股份有限公司,上市(TWSE)
2460,建通精密工業股份有限公司,上市(TWSE)
2461,光群雷射科技股份有限公司,上市(TWSE)
2462,台灣良得電子股份有限公司,上市(TWSE)
2464,盟立自動化股份有限公司,上市(TWSE)
2465,麗臺科技股份有限公司,上市(TWSE)
2466,冠西電子企業股份有限公司,上市(TWSE)
2467,志聖工業股份有限公司,上市(TWSE)
2468,華經資訊企業股份有限公司,上市(TWSE)
2471,資通電腦股份有限公司,上市(TWSE)
2472,立隆電子工業股份有限公司,上市(TWSE)
2474,可成科技股份有限公司,上市(TWSE)
2476,鉅祥企業股份有限公司,上市(TWSE)
2477,美隆工業股份有限公司,上市(TWSE)
2478,大毅科技股份有限公司,上市(TWSE)
2480,敦陽科技股份有限公司,上市(TWSE)
2481,強茂股份有限公司,上市(TWSE)
2482,連宇股份有限公司,上市(TWSE)
2483,百容電子股份有限公司,上市(TWSE)
2484,希華晶體科技股份有限公司,上市(TWSE)
2485,兆赫電子股份有限公司,上市(TWSE)
2486,一詮精密工業股份有限公司,上市(TWSE)
2488,漢平電子工業股份有限公司,上市(TWSE)
2489,瑞軒科技股份有限公司,上市(TWSE)
2491,吉祥全球實業股份有限公司,上市(TWSE)
2492,華新科技股份有限公司,上市(TWSE)
2493,揚博科技股份有限公司,上市(TWSE)
2495,普安科技股份有限公司,上市(TWSE)
2496,卓越成功股份有限公司,上市(TWSE)
2497,怡利電子工業股份有限公司,上市(TWSE)
2498,宏達國際電子股份有限公司,上市(TWSE)
2501,國泰建設股份有限公司,上市(TWSE)
2504,國產建材實業股份有限公司,上市(TWSE)
2505,國揚實業股份有限公司,上市(TWSE)
2506,太平洋建設股份有限公司,上市(TWSE)
2509,全坤建設開發股份有限公司,上市(TWSE)
2511,太子建設開發股份有限公司,上市(TWSE)
2514,龍邦國際興業股份有限公司,上市(TWSE)
2515,中華工程股份有限公司,上市(TWSE)
2516,新亞建設開發股份有限公司,上市(TWSE)
2520,冠德建設股份有限公司,上市(TWSE)
2524,京城建設股份有限公司,上市(TWSE)
2527,宏璟建設股份有限公司,上市(TWSE)
2528,皇普建設股份有限公司,上市(TWSE)
2530,大華建設股份有限公司,上市(TWSE)
2534,宏盛建設股份有限公司,上市(TWSE)
2535,達欣工程股份有限公司,上市(TWSE)
2536,宏普建設股份有限公司,上市(TWSE)
2537,聯上開發股份有限公司,上市(TWSE)
2538,基泰建設股份有限公司,上市(TWSE)
2539,櫻花建設股份有限公司,上市(TWSE)
2540,愛山林建設開發股份有限公司,上市(TWSE)
2542,興富發建設股份有限公司,上市(TWSE)
2543,皇昌營造股份有限公司,上市(TWSE)
2545,皇翔建設股份有限公司,上市(TWSE)
2546,根基營造股份有限公司,上市(TWSE)
2547,日勝生活科技股份有限公司,上市(TWSE)
2548,華固建設股份有限公司,上市(TWSE)
2597,潤弘精密工程事業股份有限公司,上市(TWSE)
2601,益航股份有限公司,上市(TWSE)
2603,長榮海運股份有限公司,上市(TWSE)
2605,新興航運股份有限公司,上市(TWSE)
2606,裕民航運股份有限公司,上市(TWSE)
2607,長榮國際儲運股份有限公司,上市(TWSE)
2608,嘉里大榮物流股份有限公司,上市(TWSE)
2609,陽明海運股份有限公司,上市(TWSE)
2610,中華航空股份有限公司,上市(TWSE)
2611,志信國際股份有限公司,上市(TWSE)
2612,中國航運股份有限公司,上市(TWSE)
2613,中國貨櫃運輸股份有限公司,上市(TWSE)
2614,東森國際股份有限公司,上市(TWSE)
2615,萬海航運股份有限公司,上市(TWSE)
2616,山隆通運股份有限公司,上市(TWSE)
2617,台灣航業股份有限公司,上市(TWSE)
2618,長榮航空股份有限公司,上市(TWSE)
2630,亞洲航空股份有限公司,上市(TWSE)
2633,台灣高速鐵路股份有限公司,上市(TWSE)
2634,漢翔航空工業股份有限公司,上市(TWSE)
2636,台驊國際控股股份有限公司,上市(TWSE)
2637,慧洋海運股份有限公司,上市(TWSE)
2642,台灣宅配通股份有限公司,上市(TWSE)
2645,長榮航太科技股份有限公司,上市(TWSE)
2646,星宇航空股份有限公司,上市(TWSE)
2701,萬華企業股份有限公司,上市(TWSE)
2702,華園飯店股份有限公司,上市(TWSE)
2704,國賓大飯店股份有限公司,上市(TWSE)
2705,六福開發股份有限公司,上市(TWSE)
2706,第一華僑大飯店股份有限公司,上市(TWSE)
2707,晶華國際酒店股份有限公司,上市(TWSE)
2712,遠雄悅來大飯店股份有限公司,上市(TWSE)
2722,夏都國際開發股份有限公司,上市(TWSE)
2723,開曼美食達人股份有限公司,上市(TWSE)
2727,王品餐飲股份有限公司,上市(TWSE)
2731,雄獅旅行社股份有限公司,上市(TWSE)
2739,寒舍餐旅管理顧問股份有限公司,上市(TWSE)
2748,雲品國際酒店股份有限公司,上市(TWSE)
2753,八方雲集國際股份有限公司,上市(TWSE)
2762,世界健身股份有限公司,上市(TWSE)
2801,彰化商業銀行股份有限公司,上市(TWSE)
2812,台中商業銀行股份有限公司,上市(TWSE)
2816,旺旺友聯產物保險股份有限公司,上市(TWSE)
2820,中華票券金融股份有限公司,上市(TWSE)
2832,台灣產物保險股份有限公司,上市(TWSE)
2834,臺灣中小企業銀行股份有限公司,上市(TWSE)
2836,高雄銀行股份有限公司,上市(TWSE)
2838,聯邦商業銀行股份有限公司,上市(TWSE)
2845,遠東國際商業銀行股份有限公司,上市(TWSE)
2849,安泰商業銀行股份有限公司,上市(TWSE)
2850,新光產物保險股份有限公司,上市(TWSE)
2851,中央再保險股份有限公司,上市(TWSE)
2852,第一產物保險股份有限公司,上市(TWSE)
2855,統一綜合證券股份有限公司,上市(TWSE)
2867,三商美邦人壽保險股份有限公司,上市(TWSE)
2880,華南金融控股股份有限公司,上市(TWSE)
2881,富邦金融控股股份有限公司,上市(TWSE)
2882,國泰金融控股股份有限公司,上市(TWSE)
2883,凱基金融控股股份有限公司,上市(TWSE)
2884,玉山金融控股股份有限公司,上市(TWSE)
2885,元大金融控股股份有限公司,上市(TWSE)
2886,兆豐金融控股股份有限公司,上市(TWSE)
2887,台新新光金融控股股份有限公司,上市(TWSE)
2889,國票金融控股股份有限公司,上市(TWSE)
2890,永豐金融控股股份有限公司,上市(TWSE)
2891,中國信託金融控股股份有限公司,上市(TWSE)
2892,第一金融控股股份有限公司,上市(TWSE)
2897,王道商業銀行股份有限公司,上市(TWSE)
2901,欣欣大眾市場股份有限公司,上市(TWSE)
2903,遠東百貨股份有限公司,上市(TWSE)
2904,匯僑股份有限公司,上市(TWSE)
2905,三商投資控股股份有限公司,上市(TWSE)
2906,高林實業股份有限公司,上市(TWSE)
2908,特力股份有限公司,上市(TWSE)
2910,統領百貨股份有限公司,上市(TWSE)
2911,麗嬰房股份有限公司,上市(TWSE)
2912,統一超商股份有限公司,上市(TWSE)
2913,台灣農林股份有限公司,上市(TWSE)
2915,潤泰全球股份有限公司,上市(TWSE)
2923,鼎固控股有限公司,上市(TWSE)
2929,淘帝國際控股有限公司,上市(TWSE)
2939,永邑國際集團股份有限公司,上市(TWSE)
2945,三商家購股份有限公司,上市(TWSE)
3002,歐格電子股份有限公司,上市(TWSE)
3003,健和興端子股份有限公司,上市(TWSE)
3004,豐達科技股份有限公司,上市(TWSE)
3005,神基控股股份有限公司,上市(TWSE)
3006,晶豪科技股份有限公司,上市(TWSE)
3008,大立光電股份有限公司,上市(TWSE)
3010,華立企業股份有限公司,上市(TWSE)
3011,今皓實業股份有限公司,上市(TWSE)
3013,晟銘電子科技股份有限公司,上市(TWSE)
3014,聯陽半導體股份有限公司,上市(TWSE)
3015,全漢企業股份有限公司,上市(TWSE)
3016,嘉晶電子股份有限公司,上市(TWSE)
3017,奇鋐科技股份有限公司,上市(TWSE)
3018,隆銘綠能科技工程股份有限公司,上市(TWSE)
3019,亞洲光學股份有限公司,上市(TWSE)
3021,鴻名企業股份有限公司,上市(TWSE)
3022,威強電工業電腦股份有限公司,上市(TWSE)
3023,信邦電子股份有限公司,上市(TWSE)
3024,憶聲電子股份有限公司,上市(TWSE)
3025,星通資訊股份有限公司,上市(TWSE)
3026,禾伸堂企業股份有限公司,上市(TWSE)
3027,盛達電業股份有限公司,上市(TWSE)
3028,增你強股份有限公司,上市(TWSE)
3029,零壹科技股份有限公司,上市(TWSE)
3030,德律科技股份有限公司,上市(TWSE)
3031,佰鴻工業股份有限公司,上市(TWSE)
3032,偉訓科技股份有限公司,上市(TWSE)
3033,威健實業股份有限公司,上市(TWSE)
3034,聯詠科技股份有限公司,上市(TWSE)
3035,智原科技股份有限公司,上市(TWSE)
3036,文曄科技股份有限公司,上市(TWSE)
3037,欣興電子股份有限公司,上市(TWSE)
3038,全台晶像股份有限公司,上市(TWSE)
3040,遠見科技股份有限公司,上市(TWSE)
3041,揚智科技股份有限公司,上市(TWSE)
3042,台灣晶技股份有限公司,上市(TWSE)
3043,科風股份有限公司,上市(TWSE)
3044,健鼎科技股份有限公司,上市(TWSE)
3045,台灣大哥大股份有限公司,上市(TWSE)
3046,建碁股份有限公司,上市(TWSE)
3047,訊舟科技股份有限公司,上市(TWSE)
3048,益登科技股份有限公司,上市(TWSE)
3049,精金科技股份有限公司,上市(TWSE)
3050,鈺德科技股份有限公司,上市(TWSE)
3051,力特光電科技股份有限公司,上市(TWSE)
3052,夆典科技開發股份有限公司,上市(TWSE)
3054,立萬利創新股份有限公司,上市(TWSE)
3055,蔚華科技股份有限公司,上市(TWSE)
3056,富華創新股份有限公司,上市(TWSE)
3057,喬鼎資訊股份有限公司,上市(TWSE)
